tempoH	temperC	L	e.L	tempoS	temperK	r	e.r
5.6979E+11	0	14.6908	0.182926844	2.05124E+15	273.5908474	0.889273608	0.011
5.6979E+11	0	14.8812	0.167009546	2.05124E+15	276.7537717	0.900799031	0.01
5.6979E+11	0	14.5956	0.178171996	2.05124E+15	280.0846388	0.883510896	0.011
5.6979E+11	0	14.888	0.147622293	2.05124E+15	284.9269918	0.901210654	0.009
5.6979E+11	0	14.9832	0.132679499	2.05124E+15	290.6090593	0.906973366	0.008
5.6979E+11	0	14.7656	0.16935171	2.05124E+15	293.6600216	0.893801453	0.011
5.6979E+11	0	14.8812	0.161016556	2.05124E+15	304.4083659	0.900799031	0.01
5.6979E+11	0	14.514	0.218430453	2.05124E+15	304.8842041	0.878571429	0.013
5.6979E+11	0	14.752	0.14011685	2.05124E+15	307.0674615	0.892978208	0.009
5.6979E+11	0	14.4528	0.150476265	2.05124E+15	312.8335004	0.874866828	0.009
5.6979E+11	0	14.208	0.109033062	2.05124E+15	315.6325484	0.860048426	0.007
5.6979E+11	0	14.2556	0.123091586	2.05124E+15	318.347625	0.862929782	0.008
5.6979E+11	0	14.276	0.124601077	2.05124E+15	318.7674822	0.864164649	0.008
5.6979E+11	0	13.9632	0.135074934	2.05124E+15	321.1186825	0.845230024	0.009
5.6979E+11	0	13.5144	0.161998856	2.05124E+15	333.7703794	0.818062954	0.01
5.6979E+11	0	13.4056	0.195494894	2.05124E+15	335.6177511	0.811476998	0.012
5.6979E+11	0	13.4804	0.255121233	2.05124E+15	339.928285	0.816004843	0.016
5.6979E+11	0	13.4872	0.155590504	2.05124E+15	345.9742287	0.816416465	0.01
5.6979E+11	0	12.848	0.306988389	2.05124E+15	357.3103731	0.777723971	0.019
5.6979E+11	0	12.4128	0.27616976	2.05124E+15	359.0737734	0.751380145	0.017
2.75E+11	0	15.3096	0.06348141	9.91E+14	293.050229	0.926731235	0.005
2.44E+11	0	15.908	0.062181107	8.77E+14	293.050229	0.962953995	0.005
1.01E+12	0	15.398	0.010546575	3.63E+15	283.053629	0.932082324	0.003
