tempoS,temperK,r,e.r,rho,e.rho
3600,398.15,0.993,0.004,0.993,0.004
3600,423.15,0.989,0.004,0.989,0.004
3600,423.15,0.99,0.004,0.99,0.004
3600,448.15,0.979,0.004,0.979,0.004
3600,449.15,0.979,0.004,0.979,0.004
3600,475.15,0.969,0.004,0.968,0.004
3600,498.15,0.959,0.004,0.958,0.004
3600,522.15,0.947,0.004,0.946,0.004
3600,523.15,0.947,0.004,0.946,0.004
3600,523.15,0.957,0.004,0.956,0.004
3600,549.15,0.919,0.004,0.917,0.004
3600,574.15,0.882,0.004,0.877,0.004
3600,599.15,0.821,0.004,0.807,0.005
3600,623.15,0.721,0.004,0.655,0.009
3600,623.15,0.714,0.004,0.641,0.009
3600,624.15,0.703,0.004,0.618,0.01
7200,399.15,0.99,0.004,0.99,0.004
7200,423.15,0.992,0.004,0.992,0.004
36000,373.15,0.998,0.005,0.998,0.005
36000,398.15,0.996,0.004,0.996,0.004
36000,424.15,0.984,0.004,0.984,0.004
36000,448.15,0.964,0.005,0.963,0.005
36000,473.15,0.961,0.005,0.96,0.005
36000,475.15,0.955,0.004,0.954,0.004
36000,498.15,0.947,0.004,0.946,0.004
36000,523.15,0.921,0.004,0.919,0.004
36000,524.15,0.913,0.004,0.91,0.004
36000,524.15,0.921,0.004,0.919,0.004
36000,548.15,0.88,0.004,0.875,0.004
36000,573.15,0.801,0.004,0.782,0.005
36000,598.15,0.717,0.004,0.647,0.009
360000,348.15,0.991,0.005,0.991,0.005
360000,348.15,0.993,0.004,0.993,0.004
360000,374.15,0.995,0.004,0.995,0.004
360000,398.15,0.981,0.004,0.981,0.004
360000,399.15,0.984,0.004,0.984,0.004
360000,423.15,0.982,0.004,0.982,0.004
360000,448.15,0.959,0.004,0.958,0.004
360000,448.15,0.965,0.004,0.964,0.004
360000,475.15,0.929,0.004,0.927,0.004
360000,498.15,0.923,0.004,0.921,0.004
360000,498.15,0.921,0.004,0.919,0.004
360000,523.15,0.864,0.004,0.857,0.005
360000,523.15,0.88,0.004,0.875,0.004
360000,524.15,0.888,0.004,0.884,0.004
360000,524.15,0.868,0.004,0.862,0.004
360000,548.15,0.784,0.004,0.758,0.006
360000,548.15,0.8,0.004,0.78,0.005
360000,573.15,0.653,0.004,0.5,0.01
3600000,373.15,0.99,0.005,0.99,0.005
3600000,398.15,0.979,0.004,0.979,0.004
3600000,423.15,0.958,0.004,0.957,0.004
3600000,448.15,0.952,0.004,0.951,0.004
3600000,473.15,0.929,0.004,0.927,0.004
3600000,498.15,0.871,0.004,0.865,0.004
3600000,523.15,0.808,0.004,0.791,0.005
3600000,523.15,0.846,0.004,0.837,0.005
3600000,523.15,0.78,0.004,0.753,0.006
3600000,524.15,0.792,0.003,0.77,0.004
3600000,548.15,0.698,0.004,0.61,0.01
3600000,548.15,0.671,0.005,0.54,0.01
3600000,548.15,0.685,0.005,0.58,0.01
